take a possible walk in the garden with 64 steps;NaN
641;363424;985
642;364702;1278
643;365721;1019
644;366943;1222
645;367981;1038
646;369193;1212
647;370286;1093
648;371475;1189
649;372528;1053
650;373779;1251
651;374880;1101
652;376074;1194
653;377166;1092
654;378310;1144
655;379461;1151
656;380594;1133
657;381779;1185
658;382888;1109
659;384128;1240
660;385220;1092
661;386424;1204
662;387530;1106
663;388728;1198
664;389883;1155
665;391160;1277
666;392199;1039
667;393499;1300
668;394520;1021
669;395885;1365
670;396961;1076
671;398241;1280
672;399392;1151
673;400548;1156
674;401802;1254
675;402883;1081
676;404229;1346
677;405306;1077
678;406553;1247
679;407654;1101
680;408944;1290
681;410082;1138
682;411353;1271
683;412416;1063
684;413742;1326
685;414835;1093
686;416174;1339
687;417253;1079
688;418640;1387
689;419744;1104
690;421059;1315
691;422135;1076
692;423450;1315
693;424517;1067
694;425828;1311
695;426924;1096
696;428180;1256
697;429411;1231
698;430529;1118
699;431773;1244
700;432960;1187
701;434260;1300
702;435374;1114
703;436664;1290
704;437808;1144
705;439068;1260
706;440221;1153
707;441547;1326
708;442722;1175
709;444066;1344
710;445208;1142
711;446552;1344
712;447727;1175
713;449014;1287
714;450193;1179
715;451555;1362
716;452697;1142
717;454253;1556
718;455580;1327
719;457216;1636
720;458497;1281
721;460105;1608
722;461385;1280
723;462997;1612
724;464089;1092
725;465489;1400
726;466626;1137
727;467991;1365
728;469139;1148
729;470544;1405
730;471719;1175
731;473090;1371
732;474250;1160
733;475612;1362
734;476796;1184
735;478167;1371
736;479352;1185
737;480726;1374
738;481940;1214
739;483252;1312
740;484511;1259
741;485903;1392
742;487053;1150
743;488400;1347
744;489681;1281
745;490922;1241
746;492276;1354
747;493495;1219
748;494889;1394
749;496088;1199
750;497484;1396
751;498694;1210
752;500185;1491
753;501362;1177
754;502880;1518
755;504028;1148
756;505531;1503
757;506697;1166
758;508125;1428
759;509352;1227
760;510775;1423
761;512057;1282
762;513482;1425
763;514658;1176
764;516151;1493
765;517375;1224
766;518853;1478
767;520114;1261
768;521484;1370
769;522882;1398
770;524170;1288
771;525702;1532
772;526888;1186
773;528427;1539
774;529653;1226
775;531124;1471
776;532372;1248
777;533830;1458
778;535144;1314
779;536574;1430
780;537839;1265
781;539342;1503
782;540664;1322
783;542098;1434
784;543409;1311
785;544782;1373
786;546163;1381
787;547522;1359
788;548943;1421
789;550273;1330
790;551759;1486
791;553068;1309
792;554510;1442
793;555835;1325
794;557269;1434
795;558652;1383
796;560180;1528
797;561424;1244
798;562979;1555
799;564200;1221
800;565832;1632
801;567119;1287
802;568648;1529
803;570024;1376
804;571404;1380
805;572902;1498
806;574192;1290
807;575800;1608
808;577084;1284
809;578573;1489
810;579884;1311
811;581424;1540
812;582779;1355
813;584296;1517
814;585561;1265
815;587142;1581
816;588443;1301
817;590038;1595
818;591322;1284
819;592974;1652
820;594288;1314
821;595851;1563
822;597131;1280
823;598694;1563
824;599964;1270
825;601521;1557
826;602825;1304
827;604315;1490
828;605779;1464
829;607105;1326
830;608583;1478
831;609992;1409
832;611534;1542
833;612856;1322
834;614386;1530
835;615743;1357
836;617238;1495
837;618604;1366
838;620178;1574
839;621569;1391
840;623163;1594
841;624513;1350
842;626106;1593
843;627495;1389
844;629020;1525
845;630414;1394
846;632027;1613
847;633376;1349
848;635216;1840
849;636785;1569
850;638719;1934
851;640233;1514
852;642133;1900
853;643645;1512
854;645549;1904
855;646841;1292
856;648492;1651
857;649835;1343
858;651444;1609
859;652800;1356
860;654456;1656
861;655844;1388
862;657459;1615
863;658828;1369
864;660431;1603
865;661827;1396
866;663441;1614
867;664837;1396
868;666455;1618
869;667884;1429
870;669429;1545
871;670910;1481
872;672548;1638
873;673902;1354
874;675485;1583
875;676993;1508
876;678451;1458
877;680044;1593
878;681475;1431
879;683114;1639
880;684522;1408
881;686163;1641
882;687584;1421
883;689334;1750
884;690716;1382
885;692497;1781
886;693845;1348
887;695607;1762
888;696976;1369
889;698649;1673
890;700089;1440
891;701756;1667
892;703260;1504
893;704929;1669
894;706308;1379
895;708056;1748
896;709490;1434
897;711220;1730
898;712697;1477
899;714300;1603
900;715937;1637
901;717443;1506
902;719235;1792
903;720622;1387
904;722422;1800
905;723855;1433
906;725575;1720
907;727033;1458
908;728737;1704
909;730272;1535
910;731943;1671
911;733420;1477
912;735175;1755
913;736718;1543
914;738392;1674
915;739922;1530
916;741524;1602
917;743135;1611
918;744720;1585
919;746377;1657
920;747928;1551
921;749660;1732
922;751186;1526
923;752866;1680
924;754410;1544
925;756080;1670
926;757691;1611
927;759470;1779
928;760919;1449
929;762729;1810
930;764150;1421
931;766049;1899
932;767547;1498
933;769325;1778
934;770926;1601
935;772530;1604
936;774272;1742
937;775771;1499
938;777641;1870
939;779132;1491
940;780863;1731
941;782384;1521
942;784174;1790
943;785746;1572
944;787509;1763
945;788976;1467
946;790812;1836
947;792321;1509
948;794172;1851
949;795661;1489
950;797578;1917
951;799102;1524
952;800913;1811
953;802397;1484
954;804208;1811
955;805681;1473
956;807484;1803
957;808996;1512
958;810720;1724
959;812417;1697
960;813951;1534
961;815663;1712
962;817294;1631
963;819078;1784
964;820608;1530
965;822378;1770
966;823948;1570
967;825678;1730
968;827257;1579
969;829079;1822
970;830686;1607
971;832530;1844
972;834088;1558
973;835930;1842
974;837533;1603
975;839296;1763
976;840905;1609
977;842769;1864
978;844325;1556
979;846449;2124
980;848260;1811
981;850492;2232
982;852239;1747
983;854431;2192
984;856175;1744
985;858371;2196
986;859863;1492
987;861765;1902
988;863314;1549
989;865167;1853
990;866731;1564
991;868638;1907
992;870239;1601
993;872098;1859
994;873676;1578
995;875520;1844
996;877128;1608
997;878985;1857
998;880592;1607
999;882454;1862
1000;884098;1644
1001;885876;1778
1002;887579;1703
1003;889463;1884
1004;891021;1558
1005;892840;1819
1006;894575;1735
1007;896250;1675
1008;898082;1832
1009;899725;1643
1010;901609;1884
1011;903226;1617
1012;905112;1886
1013;906744;1632
1014;908753;2009
1015;910340;1587
1016;912384;2044
1017;913932;1548
1018;915953;2021
1019;917525;1572
1020;919443;1918
1021;921096;1653
1022;923007;1911
1023;924733;1726
1024;926646;1913
1025;928228;1582
1026;930231;2003
1027;931875;1644
1028;933857;1982
1029;935550;1693
1030;937386;1836
1031;939262;1876
1032;940986;1724
1033;943038;2052
1034;944626;1588
1035;946687;2061
1036;948327;1640
1037;950296;1969
1038;951964;1668
1039;953914;1950
1040;955670;1756
1041;957582;1912
1042;959271;1689
1043;961278;2007
1044;963042;1764
1045;964956;1914
1046;966705;1749
1047;968536;1831
1048;970377;1841
1049;972188;1811
1050;974081;1893
1051;975853;1772
1052;977831;1978
1053;979574;1743
1054;981492;1918
1055;983255;1763
1056;985161;1906
1057;987000;1839
1058;989030;2030
1059;990684;1654
1060;992749;2065
1061;994370;1621
1062;996536;2166
1063;998245;1709
1064;1000272;2027
1065;1002098;1826
1066;1003926;1828
1067;1005912;1986
1068;1007620;1708
1069;1009752;2132
1070;1011450;1698
1071;1013423;1973
1072;1015154;1731
1073;1017194;2040
1074;1018983;1789
1075;1020992;2009
1076;1022661;1669
1077;1024752;2091
1078;1026469;1717
1079;1028576;2107
1080;1030270;1694
1081;1032452;2182
1082;1034186;1734
1083;1036245;2059
1084;1037933;1688
1085;1039992;2059
1086;1041668;1676
1087;1043717;2049
1088;1045437;1720
1089;1047395;1958
1090;1049325;1930
1091;1051067;1742
1092;1053013;1946
1093;1054866;1853
1094;1056892;2026
1095;1058630;1738
1096;1060640;2010
1097;1062423;1783
1098;1064388;1965
1099;1066180;1792
1100;1068250;2070
1101;1070073;1823
1102;1072167;2094
1103;1073933;1766
1104;1076024;2091
1105;1077841;1817
1106;1079842;2001
1107;1081666;1824
1108;1083781;2115
1109;1085544;1763
1110;1087952;2408
1111;1090005;2053
1112;1092535;2530
1113;1094515;1980
1114;1096999;2484
1115;1098975;1976
1116;1101463;2488
1117;1103155;1692
1118;1105308;2153
1119;1107063;1755
1120;1109160;2097
1121;1110932;1772
1122;1113090;2158
1123;1114904;1814
1124;1117007;2103
1125;1118794;1787
1126;1120879;2085
1127;1122699;1820
1128;1124799;2100
1129;1126617;1818
1130;1128723;2106
1131;1130582;1859
1132;1132593;2011
1133;1134518;1925
1134;1136648;2130
1135;1138410;1762
1136;1140465;2055
1137;1142427;1962
1138;1144319;1892
1139;1146390;2071
1140;1148245;1855
1141;1150374;2129
1142;1152200;1826
1143;1154331;2131
1144;1156174;1843
1145;1158442;2268
1146;1160234;1792
1147;1162541;2307
1148;1164289;1748
1149;1166569;2280
1150;1168344;1775
1151;1170507;2163
1152;1172373;1866
1153;1174528;2155
1154;1176476;1948
1155;1178633;2157
1156;1180418;1785
1157;1182676;2258
1158;1184530;1854
1159;1186764;2234
1160;1188673;1909
1161;1190742;2069
1162;1192857;2115
1163;1194799;1942
1164;1197111;2312
1165;1198900;1789
1166;1201222;2322
1167;1203069;1847
1168;1205287;2218
1169;1207165;1878
1170;1209361;2196
1171;1211338;1977
1172;1213491;2153
1173;1215392;1901
1174;1217651;2259
1175;1219636;1985
1176;1221790;2154
1177;1223758;1968
1178;1225818;2060
1179;1227889;2071
1180;1229926;2037
1181;1232055;2129
1182;1234048;1993
1183;1236272;2224
1184;1238232;1960
1185;1240388;2156
1186;1242370;1982
1187;1244512;2142
1188;1246579;2067
1189;1248860;2281
1190;1250719;1859
1191;1253039;2320
1192;1254860;1821
1193;1257293;2433
1194;1259213;1920
1195;1261489;2276
1196;1263540;2051
1197;1265592;2052
1198;1267822;2230
1199;1269739;1917
1200;1272133;2394
1201;1274038;1905
1202;1276253;2215
1203;1278194;1941
1204;1280484;2290
1205;1282490;2006
1206;1284745;2255
1207;1286616;1871
1208;1288962;2346
1209;1290887;1925
1210;1293250;2363
1211;1295149;1899
1212;1297596;2447
1213;1299540;1944
1214;1301847;2307
1215;1303739;1892
1216;1306046;2307
1217;1307925;1879
1218;1310220;2295
1219;1312148;1928
1220;1314340;2192
1221;1316503;2163
1222;1318453;1950
1223;1320633;2180
1224;1322708;2075
1225;1324976;2268
1226;1326922;1946
1227;1329172;2250
1228;1331168;1996
1229;1333368;2200
1230;1335373;2005
1231;1337691;2318
1232;1339730;2039
1233;1342074;2344
1234;1344048;1974
1235;1346388;2340
1236;1348419;2031
1237;1350658;2239
1238;1352697;2039
1239;1355063;2366
1240;1357033;1970
1241;1359725;2692
1242;1362020;2295
1243;1364848;2828
1244;1367061;2213
1245;1369837;2776
1246;1372045;2208
1247;1374825;2780
1248;1376717;1892
1249;1379121;2404
1250;1381082;1961
1251;1383423;2341
1252;1385403;1980
1253;1387812;2409
1254;1389839;2027
1255;1392186;2347
1256;1394182;1996
1257;1396508;2326
1258;1398540;2032
1259;1400883;2343
1260;1402912;2029
1261;1405262;2350
1262;1407336;2074
1263;1409580;2244
1264;1411727;2147
1265;1414103;2376
1266;1416069;1966
1267;1418360;2291
1268;1420549;2189
1269;1422658;2109
1270;1424968;2310
1271;1427035;2067
1272;1429409;2374
1273;1431444;2035
1274;1433820;2376
1275;1435874;2054
1276;1438401;2527
1277;1440398;1997
1278;1442968;2570
1279;1444916;1948
1280;1447455;2539
1281;1449433;1978
1282;1451841;2408
1283;1453920;2079
1284;1456319;2399
1285;1458489;2170
1286;1460890;2401
1287;1462878;1988
1288;1465391;2513
1289;1467455;2064
1290;1469941;2486
1291;1472066;2125
1292;1474368;2302
1293;1476722;2354
1294;1478882;2160
1295;1481454;2572
1296;1483444;1990
1297;1486027;2583
1298;1488081;2054
1299;1490548;2467
1300;1492636;2088
1301;1495078;2442
1302;1497276;2198
1303;1499670;2394
1304;1501783;2113
1305;1504294;2511
1306;1506500;2206
1307;1508894;2394
1308;1511081;2187
1309;1513370;2289
1310;1515671;2301
1311;1517934;2263
1312;1520299;2365
1313;1522513;2214
1314;1524983;2470
1315;1527160;2177
1316;1529554;2394
1317;1531755;2201
1318;1534133;2378
1319;1536428;2295
1320;1538960;2532
1321;1541024;2064
1322;1543599;2575
1323;1545620;2021
1324;1548320;2700
1325;1550451;2131
1326;1552976;2525
1327;1555252;2276
1328;1557528;2276
1329;1560002;2474
1330;1562128;2126
1331;1564784;2656
1332;1566896;2112
1333;1569353;2457
1334;1571504;2151
1335;1574044;2540
1336;1576267;2223
1337;1578768;2501
1338;1580841;2073
1339;1583442;2601
1340;1585575;2133
1341;1588194;2619
1342;1590298;2104
1343;1593010;2712
1344;1595164;2154
1345;1597719;2555
1346;1599815;2096
1347;1602370;2555
1348;1604452;2082
1349;1606993;2541
1350;1609129;2136
1351;1611555;2426
1352;1613951;2396
1353;1616109;2158
1354;1618523;2414
1355;1620820;2297
1356;1623330;2510
1357;1625484;2154
1358;1627974;2490
1359;1630183;2209
1360;1632618;2435
1361;1634836;2218
1362;1637402;2566
1363;1639657;2255
1364;1642251;2594
1365;1644433;2182
1366;1647022;2589
1367;1649267;2245
1368;1651744;2477
1369;1653998;2254
1370;1656615;2617
1371;1658792;2177
1372;1661768;2976
1373;1664305;2537
1374;1667431;3126
1375;1669877;2446
1376;1672945;3068
1377;1675385;2440
1378;1678457;3072
1379;1680549;2092
1380;1683204;2655
1381;1685371;2167
1382;1687956;2585
1383;1690144;2188
1384;1692804;2660
1385;1695044;2240
1386;1697635;2591
1387;1699840;2205
1388;1702407;2567
1389;1704651;2244
1390;1707237;2586
1391;1709477;2240
1392;1712071;2594
1393;1714360;2289
1394;1716837;2477
1395;1719206;2369
1396;1721828;2622
1397;1723998;2170
1398;1726525;2527
1399;1728941;2416
1400;1731267;2326
1401;1733816;2549
1402;1736095;2279
1403;1738714;2619
1404;1740958;2244
1405;1743579;2621
1406;1745844;2265
1407;1748630;2786
1408;1750832;2202
1409;1753665;2833
1410;1755813;2148
1411;1758611;2798
1412;1760792;2181
1413;1763445;2653
1414;1765737;2292
1415;1768380;2643
1416;1770772;2392
1417;1773417;2645
1418;1775608;2191
1419;1778376;2768
1420;1780650;2274
1421;1783388;2738
1422;1785729;2341
1423;1788264;2535
1424;1790857;2593
1425;1793235;2378
1426;1796067;2832
1427;1798258;2191
1428;1801102;2844
1429;1803363;2261
1430;1806079;2716
1431;1808377;2298
1432;1811065;2688
1433;1813484;2419
1434;1816119;2635
1435;1818444;2325
1436;1821207;2763
1437;1823634;2427
1438;1826268;2634
1439;1828674;2406
1440;1831192;2518
1441;1833723;2531
1442;1836212;2489
1443;1838813;2601
1444;1841248;2435
1445;1843964;2716
1446;1846358;2394
1447;1848990;2632
1448;1851410;2420
1449;1854024;2614
1450;1856547;2523
1451;1859330;2783
1452;1861599;2269
1453;1864429;2830
1454;1866650;2221
1455;1869617;2967
1456;1871959;2342
1457;1874733;2774
1458;1877234;2501
1459;1879734;2500
1460;1882452;2718
1461;1884787;2335
1462;1887705;2918
1463;1890024;2319
1464;1892723;2699
1465;1895084;2361
1466;1897874;2790
1467;1900314;2440
1468;1903061;2747
1469;1905336;2275
1470;1908192;2856
1471;1910533;2341
1472;1913408;2875
1473;1915717;2309
1474;1918694;2977
1475;1921058;2364
1476;1923861;2803
1477;1926161;2300
1478;1928964;2803
1479;1931249;2285
1480;1934036;2787
1481;1936380;2344
1482;1939040;2660
1483;1941669;2629
1484;1944035;2366
1485;1946683;2648
1486;1949202;2519
1487;1951954;2752
1488;1954316;2362
1489;1957046;2730
1490;1959468;2422
1491;1962138;2670
1492;1964569;2431
1493;1967383;2814
1494;1969854;2471
1495;1972698;2844
1496;1975088;2390
1497;1977926;2838
1498;1980385;2459
1499;1983100;2715
1500;1985569;2469
1501;1988437;2868
1502;1990821;2384
1503;1994081;3260
1504;1996860;2779
1505;2000284;3424
1506;2002963;2679
1507;2006323;3360
1508;2008995;2672
1509;2012359;3364
1510;2014651;2292
1511;2017557;2906
1512;2019930;2373
1513;2022759;2829
1514;2025155;2396
1515;2028066;2911
1516;2030519;2453
1517;2033354;2835
1518;2035768;2414
1519;2038576;2808
1520;2041032;2456
1521;2043861;2829
1522;2046312;2451
1523;2049150;2838
1524;2051654;2504
1525;2054364;2710
1526;2056955;2591
1527;2059823;2868
1528;2062197;2374
1529;2064960;2763
1530;2067603;2643
1531;2070146;2543
1532;2072934;2788
1533;2075425;2491
1534;2078289;2864
1535;2080742;2453
1536;2083608;2866
1537;2086084;2476
1538;2089129;3045
1539;2091536;2407
1540;2094632;3096
1541;2096980;2348
1542;2100037;3057
1543;2102421;2384
1544;2105319;2898
1545;2107824;2505
1546;2110711;2887
1547;2113325;2614
1548;2116214;2889
1549;2118608;2394
1550;2121631;3023
1551;2124115;2484
1552;2127105;2990
1553;2129662;2557
1554;2132430;2768
1555;2135262;2832
1556;2137858;2596
1557;2140950;3092
1558;2143342;2392
1559;2146447;3105
1560;2148915;2468
1561;2151880;2965
1562;2154388;2508
1563;2157322;2934
1564;2159962;2640
1565;2162838;2876
1566;2165375;2537
1567;2168390;3015
1568;2171038;2648
1569;2173912;2874
1570;2176537;2625
1571;2179284;2747
1572;2182045;2761
1573;2184760;2715
1574;2187597;2837
1575;2190253;2656
1576;2193215;2962
1577;2195826;2611
1578;2198696;2870
1579;2201335;2639
1580;2204185;2850
1581;2206936;2751
1582;2209970;3034
1583;2212444;2474
1584;2215529;3085
1585;2217950;2421
1586;2221184;3234
1587;2223737;2553
1588;2226760;3023
1589;2229486;2726
1590;2232210;2724
1591;2235172;2962
1592;2237716;2544
1593;2240896;3180
1594;2243422;2526
1595;2246363;2941
1596;2248934;2571
1597;2251974;3040
1598;2254631;2657
1599;2257624;2993
1600;2260101;2477
1601;2263212;3111
1602;2265761;2549
1603;2268892;3131
1604;2271406;2514
1605;2274648;3242
1606;2277222;2574
1607;2280273;3051
1608;2282777;2504
1609;2285828;3051
1610;2288316;2488
1611;2291349;3033
1612;2293901;2552
1613;2296795;2894
1614;2299657;2862
1615;2302231;2574
1616;2305113;2882
